Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
14/03/2008,Sydney,18.8,26,0,5.4,11,NA,NA,W,ENE,9,24,84,62,1022.8,1020,3,1,21.8,25.7,No,0,No
15/03/2008,Sydney,19.3,26.1,0,7,11.3,NA,NA,NW,ENE,2,20,80,64,1022.1,1020.9,1,1,22.5,25.6,No,0,No
16/03/2008,Sydney,19.7,25.8,0,5.6,10.1,NA,NA,W,E,7,24,81,69,1024.6,1022.6,2,2,22.8,24.7,No,0,No
17/03/2008,Sydney,19.5,25.7,0,6.4,10,NA,NA,WNW,NA,4,NA,82,60,1024.8,1022.8,4,1,22,25.4,No,0,No
18/03/2008,Sydney,19,26.7,0,8,9.7,NA,NA,N,ENE,11,20,73,58,1023.3,1020,0,2,22.2,25.6,No,0,No
19/03/2008,Sydney,19.9,26.9,0,6.6,6.3,NA,NA,SSE,E,7,13,70,60,1021.2,1019.4,5,7,23.9,24.9,No,0,No
20/03/2008,Sydney,19.7,28.1,0,6,10.4,NA,NA,NNE,NE,6,17,70,58,1014.3,1009.6,2,2,23.5,27.6,No,1,No
21/03/2008,Sydney,17.7,19.6,1,7,0,NA,NA,S,SSW,26,22,87,80,1017.3,1018.9,8,8,17.8,18.4,No,2.2,Yes
22/03/2008,Sydney,16.9,23.2,2.2,2.2,0.6,NA,NA,ESE,E,24,30,81,60,1022.8,1022.2,7,7,19.6,21.7,Yes,0.4,No
23/03/2008,Sydney,16.3,24.8,0.4,4,6.1,NA,NA,WNW,ESE,9,13,82,57,1023.1,1020.6,5,6,18.5,24.8,No,17,Yes
24/03/2008,Sydney,18.5,24.3,17,2.6,8,NA,NA,NNW,ENE,7,26,95,72,1018.7,1015.3,6,2,19.9,23.3,Yes,0.4,No
25/03/2008,Sydney,19.8,27.5,0.4,6.4,2.5,NA,NA,NE,NNW,4,17,81,58,1011.1,1006.9,5,7,21.4,27,No,19,Yes
26/03/2008,Sydney,17,27.2,19,2.4,10.5,NA,NA,NA,NW,0,6,76,38,1008.9,1007.9,1,5,20.5,27.1,Yes,0,No
27/03/2008,Sydney,15,23.6,0,5.8,11,NA,NA,W,ESE,20,19,52,42,1014.7,1013.4,1,1,17.5,21.8,No,0,No
28/03/2008,Sydney,15.2,21.7,0,2.6,8.3,NA,NA,SSW,SE,13,17,71,51,1017.1,1016.2,4,3,18.3,21.2,No,0.2,No
29/03/2008,Sydney,14.4,22.9,0.2,4.8,9.3,NA,NA,W,E,15,15,85,65,1015.4,1011.2,3,2,16.7,21.7,No,0,No
30/03/2008,Sydney,13.1,26.8,0,4.6,10.9,NA,NA,W,WNW,22,15,61,22,1013,1009,0,1,16.9,25.9,No,0,No
31/03/2008,Sydney,13.5,25.6,0,5.8,10.4,NA,NA,WNW,WNW,9,17,57,31,1015,1012.5,4,1,16.3,24.9,No,0,No
01/04/2008,Sydney,13.7,23.9,0,6.6,11,NA,NA,W,ESE,20,15,55,54,1023,1021.5,1,1,16.7,23.3,No,0,No
02/04/2008,Sydney,14.1,28.7,0,3.8,10.5,NA,NA,W,N,6,22,75,34,1019,1012.4,1,7,17.8,28,No,0,No
03/04/2008,Sydney,16.4,22.2,0,10.6,9.7,NA,NA,SW,WSW,26,20,42,21,1009.9,1010.8,6,1,16.6,21.2,No,0,No
04/04/2008,Sydney,11.2,22.2,0,7.6,10.6,NA,NA,W,E,24,15,47,37,1020.8,1019.2,1,0,13.9,21,No,0,No
05/04/2008,Sydney,11.6,22.7,0,4.2,10.7,NA,NA,WNW,E,13,17,71,50,1024.5,1023.4,0,1,15.2,21,No,0,No
06/04/2008,Sydney,13.1,22.7,0,3.6,6.4,NA,NA,W,ESE,13,20,71,55,1027.2,1024.6,5,6,17.7,22.1,No,12,Yes
07/04/2008,Sydney,15.3,22,12,3.2,4.7,NA,NA,SSW,SSE,11,15,83,70,1026.3,1024.2,5,6,18.2,19.8,Yes,9.6,Yes
08/04/2008,Sydney,14.6,22.1,9.6,5.4,5.1,NA,NA,SE,SE,20,17,86,75,1026.5,1024.1,6,6,17,18.9,Yes,22.8,Yes
09/04/2008,Sydney,15.6,22.2,22.8,5.4,5.8,NA,NA,W,E,13,20,96,62,1024.6,1021.4,7,5,16.3,21.1,Yes,2.2,Yes
10/04/2008,Sydney,13.8,22.7,2.2,3.6,10.6,NA,NA,W,E,15,15,77,60,1022.1,1019.7,5,1,18.7,21.9,Yes,0,No
11/04/2008,Sydney,14.1,23.5,0,3.2,8.9,NA,NA,W,E,15,15,83,61,1020.1,1017.5,4,2,17.1,22.1,No,0,No
12/04/2008,Sydney,14,23.8,0,4,7.8,NA,NA,W,E,11,9,79,59,1018.6,1016,7,4,17.6,22.2,No,0,No
13/04/2008,Sydney,15.1,22.7,0,1.8,6.6,NA,NA,W,ESE,11,4,81,75,1016.4,1013.4,5,6,17.4,19.7,No,11,Yes
14/04/2008,Sydney,13.2,18.9,11,3.2,5.2,NA,NA,SSW,S,19,30,82,64,1019.6,1019.2,7,3,15.9,18.8,Yes,2.8,Yes
15/04/2008,Sydney,13.8,19.7,2.8,2.8,1.7,NA,NA,SW,S,20,22,85,71,1025.4,1023.9,7,7,15.9,19,Yes,1.4,Yes
16/04/2008,Sydney,13.8,20.9,1.4,4.6,2.2,NA,NA,SSW,SSW,15,20,78,85,1026.4,1024.6,7,8,17.2,16.2,Yes,4.6,Yes
17/04/2008,Sydney,14.9,19.7,4.6,1.4,0.8,NA,NA,SSW,S,17,13,91,72,1025.1,1023.4,7,7,16.4,19.4,Yes,6.4,Yes
18/04/2008,Sydney,15.3,20,6.4,3.2,0.3,NA,NA,W,SSE,4,15,94,75,1025.4,1023.7,8,7,16.4,19.6,Yes,5,Yes
19/04/2008,Sydney,15.9,21.4,5,4.8,5,NA,NA,SE,SE,22,24,51,61,1027.2,1026.1,6,7,19.3,19.5,Yes,2.8,Yes
20/04/2008,Sydney,15.2,19.1,2.8,4,1.3,NA,NA,ESE,S,15,6,79,75,1026.6,1023.7,7,6,17.3,18.4,Yes,21.8,Yes
21/04/2008,Sydney,14.7,19.3,21.8,7.5,4.6,NA,NA,SSW,S,9,19,91,70,1023.2,1021.4,8,7,16.6,19,Yes,10.2,Yes
22/04/2008,Sydney,14.4,20.3,10.2,3.6,2,NA,NA,SSE,SE,9,20,90,55,1023.6,1022.3,7,5,16.1,20.1,Yes,12.6,Yes
23/04/2008,Sydney,14.7,17.9,12.6,4,0.7,NA,NA,SW,SSE,6,22,90,89,1024,1022.1,7,7,16.2,17.2,Yes,15.6,Yes
24/04/2008,Sydney,14.7,20,15.6,1.6,2.5,NA,NA,S,S,19,20,93,80,1021.3,1018.6,7,7,16.8,19.3,Yes,5.4,Yes
25/04/2008,Sydney,16.8,21.2,5.4,2.6,2.6,NA,NA,SSE,S,17,15,55,69,NA,1013.9,7,7,19.7,20.3,Yes,0.4,No
26/04/2008,Sydney,12.7,24.8,0.4,2.6,10.2,NA,NA,W,E,15,6,81,38,1011.2,1007,2,7,15.6,24.6,No,0,No
27/04/2008,Sydney,15.6,26.1,0,5.2,7.6,NA,NA,NNW,N,20,22,51,28,1005.2,999.1,6,2,20.3,25.7,No,0,No
28/04/2008,Sydney,11.9,16.8,0,7.6,8.5,NA,NA,W,WSW,20,24,46,33,1007.4,1008.6,2,6,13.7,15.6,No,0,No
29/04/2008,Sydney,8.6,18.4,0,3.8,10.5,NA,NA,W,SSE,24,9,54,41,1020.4,1019.8,1,1,11.7,17.8,No,0,No
30/04/2008,Sydney,8.4,19.6,0,3.6,9.8,NA,NA,W,E,15,17,68,50,1024.2,1021.3,1,3,11.6,18.1,No,0,No
01/05/2008,Sydney,11.6,18.2,0,4,2.7,NA,NA,WNW,W,11,7,74,56,1019.7,1016.7,7,7,13.4,18.1,No,0,No
02/05/2008,Sydney,10.8,22.2,0,2.4,9.1,NA,NA,W,WSW,19,17,65,44,1018.7,1015.3,1,3,14.5,21.7,No,0,No
03/05/2008,Sydney,10.9,19.6,0,3.4,10.5,NA,NA,W,SSE,19,11,62,52,1019.3,1016.9,1,1,14.1,18.6,No,0,No
04/05/2008,Sydney,9.4,20.3,0,3.6,10.3,NA,NA,W,SE,22,11,64,47,1021.1,1018.3,1,1,12.4,19.4,No,0,No
05/05/2008,Sydney,9.4,22.3,0,2,10,NA,NA,W,NW,15,7,71,34,1018.7,1015.2,1,2,12.4,22.2,No,0,No
06/05/2008,Sydney,11.8,23.6,0,3.4,3.1,NA,NA,W,WNW,9,9,74,48,1017.1,1013.3,6,7,13.7,21.1,No,0,No
07/05/2008,Sydney,13,23,0,3.6,9.4,NA,NA,W,SSE,22,13,57,44,1014.3,1011.8,1,3,16.5,22,No,0,No
08/05/2008,Sydney,11,21.8,0,3.2,10.2,NA,NA,W,S,24,15,63,45,1019.2,1017.5,1,1,14,20.8,No,0,No
09/05/2008,Sydney,11,21.9,0,3.2,10.1,NA,NA,W,SE,17,11,75,60,1021.4,1020.2,0,1,14.3,20.6,No,0,No
10/05/2008,Sydney,12.6,21.3,0,3,9.6,NA,NA,WNW,E,11,11,86,67,1022.2,1019.6,1,1,15.2,19.3,No,0,No
11/05/2008,Sydney,14,19.4,0,1.2,2.1,NA,NA,WNW,SSE,13,15,84,67,1023.1,1021.2,7,7,16.8,18.7,No,0,No
12/05/2008,Sydney,12.4,19.5,0,1.6,7.3,NA,NA,W,E,11,15,88,63,1023.5,1020.5,1,1,14.9,19.2,No,0,No
13/05/2008,Sydney,13.2,19.7,0,1.8,4.2,NA,NA,W,E,11,9,88,67,1023.4,1021.7,6,7,15,18.1,No,0,No
14/05/2008,Sydney,11.2,20.6,0,2,9.7,NA,NA,W,ENE,20,19,82,64,1023.8,1020.5,1,1,13.8,20,No,0.2,No
15/05/2008,Sydney,12,21.4,0.2,3.2,8.7,NA,NA,W,E,13,9,90,60,1022.2,1017.8,1,1,13.9,21.3,No,1.2,Yes
16/05/2008,Sydney,13.8,23.2,1.2,2.2,6.4,NA,NA,WNW,NE,15,15,78,66,1017.1,1013,6,2,15.9,20.9,Yes,0,No
17/05/2008,Sydney,15.2,21.8,0,4.2,6.9,NA,NA,NNW,NNW,20,17,52,41,1008.4,1003.6,3,7,19.2,20.9,No,0,No
18/05/2008,Sydney,8.8,17.8,0,4.2,9.4,NA,NA,W,W,19,31,57,36,1007,1006.3,1,1,11.6,17,No,0,No
19/05/2008,Sydney,10.7,20.5,0,4.4,9.9,NA,NA,W,WNW,22,7,58,36,1015.7,1013.3,1,0,12.5,20.3,No,0,No
20/05/2008,Sydney,10.3,21.7,0,3,10,NA,NA,W,W,24,7,64,38,1020.1,1017.5,1,1,13,21.3,No,0,No
21/05/2008,Sydney,11.1,18.9,0,2.4,6.1,NA,NA,WNW,S,19,22,74,64,1022.4,1022.8,4,7,13.5,17.3,No,0,No
22/05/2008,Sydney,11.9,18.7,0,4,7.5,NA,NA,SSW,SSE,20,19,63,52,1028.2,1026.2,1,2,15.1,17.4,No,0,No
23/05/2008,Sydney,11,18.4,0,3.4,5.4,NA,NA,WNW,SSE,17,13,76,53,1026.9,1024.6,1,5,12.7,17.1,No,0,No
24/05/2008,Sydney,11.4,20.1,0,2.4,9.1,NA,NA,W,NW,13,2,71,39,1025.4,1022.7,1,1,13.3,19.3,No,0,No
25/05/2008,Sydney,8.8,18.3,0,3.6,6.5,NA,NA,W,ENE,17,11,78,58,1025.1,1022.2,4,3,11.1,16.9,No,0.4,No
26/05/2008,Sydney,10.9,21.1,0.4,0.4,9.1,NA,NA,W,ENE,20,13,81,58,1025.9,1022.6,6,2,12.9,19.5,No,0,No
27/05/2008,Sydney,11.5,22.4,0,3.2,8.7,NA,NA,W,E,15,13,82,71,1024.6,1021.8,3,1,13.6,19.1,No,0,No
28/05/2008,Sydney,11,19.2,0,1.6,3.9,NA,NA,W,NE,26,2,80,74,1025.6,1023.9,3,6,12.8,18.6,No,1,No
29/05/2008,Sydney,11,18.6,1,1,4.6,NA,NA,W,S,19,4,86,76,1030.2,1029.1,3,2,12.7,17.6,No,0.2,No
30/05/2008,Sydney,10.9,21,0.2,1.4,5.6,NA,NA,W,E,19,7,87,58,1032,1028.7,1,2,12.7,19.6,No,0,No
31/05/2008,Sydney,10.8,20.1,0,1,9.4,NA,NA,WNW,SSE,17,17,90,61,1028.6,1026.66,1,1,11.7,19.4,No,0.2,No
01/06/2008,Sydney,11.6,20.5,0.2,2.2,0.3,NA,NA,W,SE,19,17,91,74,1029.3,1027,7,7,14.3,18.7,No,22,Yes
02/06/2008,Sydney,14.3,17.6,22,1.8,0.1,NA,NA,W,W,9,7,97,90,1027.3,1024.8,8,7,15.3,17.1,Yes,4,Yes
03/06/2008,Sydney,15.2,19.1,4,0.4,0,NA,NA,W,E,17,22,98,90,1026.4,1024.1,8,8,15.6,16.7,Yes,9.2,Yes
04/06/2008,Sydney,15.5,18.3,9.2,2.4,0,NA,NA,SE,ESE,19,26,87,88,1023.1,1020.5,8,8,17.5,17.2,Yes,46.4,Yes
05/06/2008,Sydney,15.2,16.9,46.4,2.4,0,NA,NA,SSW,S,24,24,82,84,1020.1,1018.6,7,8,16,16.6,Yes,12.4,Yes
06/06/2008,Sydney,14.7,17.4,12.4,0.4,1.8,NA,NA,WSW,SSW,15,24,81,70,1021.2,1020.3,7,6,15.1,16.6,Yes,0,No
07/06/2008,Sydney,11.7,18.2,0,2.2,8.8,NA,NA,W,S,19,24,76,49,1025,1025.7,1,1,13.3,17.9,No,6,Yes
08/06/2008,Sydney,12.7,17.7,6,1.4,0.5,NA,NA,WNW,ESE,17,17,97,71,1032.1,1029.8,8,7,14.1,17.2,Yes,3.6,Yes
09/06/2008,Sydney,13,16.9,3.6,1.2,1.2,NA,NA,W,ESE,13,2,96,89,1030.9,1028,7,8,13.9,16.2,Yes,1.6,Yes
10/06/2008,Sydney,12.4,19.9,1.6,1.6,3.9,NA,NA,W,N,13,9,98,68,1027.5,1023.9,7,1,13.2,19.1,Yes,0,No
11/06/2008,Sydney,13.2,19.9,0,1.8,0,NA,NA,NNW,N,6,4,74,70,1022.9,1020.6,7,8,17.3,19.6,No,5.4,Yes
12/06/2008,Sydney,13.7,22.1,5.4,1.8,6.9,NA,NA,W,ENE,11,7,97,64,1022.4,1018.1,8,1,14.1,20.1,Yes,0,No
13/06/2008,Sydney,14,18.8,0,3.4,8.6,NA,NA,NW,WSW,20,26,67,42,1012.2,1011.5,1,2,16.6,16.7,No,0,No
14/06/2008,Sydney,9.6,14.6,0,3.8,3.4,NA,NA,W,SW,30,24,49,52,1022,1022.5,5,7,11.2,14.1,No,0,No
15/06/2008,Sydney,10.6,15.3,0,2.8,0.1,NA,NA,SSW,SSW,24,26,75,87,1024.4,1022.8,7,8,13.7,14.5,No,7.2,Yes
16/06/2008,Sydney,13.3,16.8,7.2,5,2.4,NA,NA,SSW,SSW,19,20,86,83,1024.2,1023,6,7,15,15.8,Yes,3.4,Yes
17/06/2008,Sydney,13.1,17.5,3.4,0.8,1.3,NA,NA,W,SSW,11,13,88,73,1026.7,1024.8,7,7,14.2,17.3,Yes,0,No
18/06/2008,Sydney,13.6,19.4,0,1.6,4.1,NA,NA,W,NE,13,2,90,69,1025.5,1022.1,7,8,14.8,19.2,No,0,No
19/06/2008,Sydney,12.8,20.3,0,2,5,NA,NA,WNW,ESE,13,13,91,69,1020.3,1017.4,6,7,13.9,18.6,No,3.6,Yes
20/06/2008,Sydney,13.8,17.9,3.6,0.6,0.6,NA,NA,W,W,19,19,81,60,1018.3,1016.2,7,7,14.3,17.2,Yes,2.2,Yes
21/06/2008,Sydney,11.6,18.5,2.2,1.8,9.4,NA,NA,W,WSW,15,17,66,40,1020.7,1018.9,1,1,13.2,18,Yes,0,No
22/06/2008,Sydney,9.7,17.3,0,3.4,9.3,NA,NA,W,SSW,22,22,61,54,1023.2,1024,1,3,11.4,16.3,No,0,No
23/06/2008,Sydney,8.2,17.1,0,3.4,7,NA,NA,WNW,WSW,13,13,74,43,1023.7,1020.4,1,7,9.9,17,No,0,No
24/06/2008,Sydney,9.2,19.2,0,1.8,9.2,NA,NA,W,WNW,19,9,72,45,1027,1023.1,1,1,10.7,18.8,No,0,No
25/06/2008,Sydney,9.9,19.6,0,2.8,9.8,NA,NA,W,WNW,17,6,69,43,1024.6,1020.6,1,0,11.8,19.4,No,0,No
26/06/2008,Sydney,10.2,20.2,0,3.2,9.7,NA,NA,WNW,W,28,28,47,38,1017,1016.8,0,1,14.6,19.3,No,0,No
27/06/2008,Sydney,9.5,19.4,0,4.4,9.3,NA,NA,W,WSW,24,15,57,32,1025.9,1023.6,0,0,10.8,18.9,No,0,No
28/06/2008,Sydney,7.9,18.7,0,3,8.8,NA,NA,W,SSE,20,9,68,43,1027.6,1024.7,1,1,10.1,18.1,No,0,No
29/06/2008,Sydney,7.9,21,0,0.8,9.8,NA,NA,WNW,NNW,13,6,84,42,1024.1,1018.8,2,1,9.2,20.8,No,0,No
30/06/2008,Sydney,9.2,22.1,0,3.2,9.8,NA,NA,NNW,NW,19,28,47,35,1017.1,1010.3,1,1,13.8,21.6,No,0.2,No
01/07/2008,Sydney,10.3,19.6,0.2,3.8,9.5,NA,NA,NA,W,0,41,45,34,1011,1008.5,0,1,13.1,19.2,No,0,No
02/07/2008,Sydney,10.8,19.2,0,4,9.7,NA,NA,WNW,W,26,31,55,35,1012.5,1011.2,1,1,14.6,18.8,No,0,No
03/07/2008,Sydney,9.2,17.9,0,3.2,9.6,NA,NA,W,WNW,17,7,63,42,1022.7,1020.8,1,1,10.7,17.4,No,1.2,Yes
04/07/2008,Sydney,8.2,15,1.2,2.4,0.4,NA,NA,W,S,20,9,84,88,1029,1028.2,7,7,9.1,12.9,Yes,14.2,Yes
05/07/2008,Sydney,9.1,17.4,14.2,1.6,2.5,NA,NA,WNW,NE,11,15,78,48,1031.9,1028.9,6,6,11.3,16.8,Yes,0,No
06/07/2008,Sydney,8.3,18.4,0,2.2,7.8,NA,NA,W,SSE,15,4,84,59,1029.2,1025.7,1,3,9.8,17.7,No,0,No
07/07/2008,Sydney,9.7,19.8,0,2.2,4.3,NA,NA,W,N,9,11,87,55,1024.4,1019.7,7,5,11.3,19.3,No,0.2,No
08/07/2008,Sydney,10.5,17.2,0.2,1.6,5.5,NA,NA,W,SE,11,7,80,49,1020.9,1017.4,1,4,12.1,16.4,No,0,No
09/07/2008,Sydney,6.9,13.3,0,2.8,4.6,NA,NA,W,WSW,15,20,57,43,1018,1015.7,2,7,9.6,13.2,No,1.8,Yes
10/07/2008,Sydney,7.2,15.8,1.8,2.4,4.9,NA,NA,WNW,NW,11,26,58,38,1014.6,1010,7,3,10.2,15.8,Yes,0,No
11/07/2008,Sydney,10,16.5,0,4.8,9.8,NA,NA,W,WSW,24,20,46,27,1016.5,1017,1,1,11.3,16.1,No,0,No
12/07/2008,Sydney,5.7,15.9,0,3.4,8.3,NA,NA,W,NE,17,13,67,45,1027.5,1023.5,4,7,7.8,15,No,0,No
13/07/2008,Sydney,7.8,17.3,0,2.6,0,NA,NA,W,N,4,17,67,58,1024.2,1021.2,8,8,11.5,17.1,No,0,No
14/07/2008,Sydney,10.1,23.1,0,1.8,6.1,NA,NA,NA,E,0,7,80,54,1021.5,1017.3,7,1,12,22.9,No,0,No
15/07/2008,Sydney,9.7,19.8,0,1.8,9.7,NA,NA,W,ESE,20,11,81,70,1020.8,1018.4,1,1,11.1,17.4,No,0,No
16/07/2008,Sydney,8.9,18,0,2,9.6,NA,NA,WNW,SSE,13,11,81,50,1022.2,1019.1,1,1,10.8,17.4,No,0,No
17/07/2008,Sydney,8.2,18.5,0,1.4,9,NA,NA,W,N,15,17,84,38,1019.2,1013.3,4,5,10.1,17.3,No,0,No
18/07/2008,Sydney,8.2,18.7,0,4,8.7,NA,NA,W,W,13,39,73,21,1010.1,1007.3,1,1,10.1,17.9,No,0,No
19/07/2008,Sydney,8.1,18.2,0,3.4,9.5,NA,NA,W,W,4,6,53,32,1016.2,1014.1,1,2,10.9,18.2,No,0,No
20/07/2008,Sydney,10.8,17.6,0,3.2,0,NA,NA,N,NE,6,4,41,55,1015.4,1008.6,8,8,14.6,16.8,No,2.8,Yes
21/07/2008,Sydney,10.4,17.5,2.8,1.6,9.7,NA,NA,NW,W,26,31,56,31,1006.2,1008.1,1,1,13.1,16.7,Yes,0,No
22/07/2008,Sydney,7.2,15.1,0,3.8,10,NA,NA,W,SSW,19,22,52,31,1024.8,1025.2,0,1,8.8,13.9,No,0,No
